Date,City,Category,Product,Units Sold,Revenue
2026-07-07,Jakarta,Tea,Jasmine Tea,13,30.18
2026-07-07,Denpasar,Pastry,Banana Bread,34,92.98
2026-07-08,Bandung,Tea,Jasmine Tea,18,38.3
2026-07-08,Jakarta,Coffee,Cafe Latte,7,27.48
2026-07-08,Surabaya,Pastry,Butter Croissant,30,93.87
2026-07-08,Yogyakarta,Tea,Jasmine Tea,12,28.07
2026-07-09,Denpasar,Coffee,Espresso,16,38
2026-07-09,Surabaya,Merchandise,Tumbler,4,46.85
2026-07-09,Denpasar,Coffee,Espresso,37,85.5
2026-07-09,Bandung,Tea,Matcha Latte,9,34.52
2026-07-10,Denpasar,Coffee,Cold Brew,28,108.58
2026-07-10,Denpasar,Pastry,Butter Croissant,6,16.97
2026-07-11,Yogyakarta,Tea,Matcha Latte,22,84.95
2026-07-11,Yogyakarta,Coffee,Espresso,52,136.73
2026-07-12,Yogyakarta,Merchandise,Tumbler,45,572.91
2026-07-12,Denpasar,Tea,Matcha Latte,52,210.19
2026-07-13,Jakarta,Pastry,Butter Croissant,10,29.05
2026-07-13,Denpasar,Tea,Jasmine Tea,30,70.35
2026-07-14,Jakarta,Merchandise,Tumbler,4,46.3
2026-07-14,Bandung,Coffee,Espresso,7,16.16
2026-07-14,Denpasar,Coffee,Espresso,15,35.38
2026-07-14,Yogyakarta,Coffee,Espresso,19,46.52
2026-07-15,Bandung,Coffee,Cafe Latte,30,115.11
2026-07-15,Bandung,Coffee,Espresso,7,17.86
2026-07-16,Surabaya,Coffee,Espresso,24,62.45
2026-07-16,Denpasar,Tea,Jasmine Tea,6,12.32
2026-07-16,Denpasar,Merchandise,Tumbler,5,60.69
2026-07-16,Denpasar,Pastry,Banana Bread,30,86.35
2026-07-17,Yogyakarta,Coffee,Cafe Latte,38,138.65
2026-07-17,Denpasar,Pastry,Banana Bread,36,98.38
2026-07-17,Bandung,Tea,Jasmine Tea,9,19.48
2026-07-17,Yogyakarta,Pastry,Banana Bread,36,103.23
2026-07-18,Surabaya,Coffee,Espresso,26,68.99
2026-07-18,Bandung,Pastry,Banana Bread,11,32.42
2026-07-18,Bandung,Tea,Jasmine Tea,22,50.04
2026-07-19,Surabaya,Coffee,Espresso,50,126.12
2026-07-19,Jakarta,Pastry,Banana Bread,39,111.66
2026-07-19,Yogyakarta,Coffee,Cold Brew,39,161.3
2026-07-20,Jakarta,Merchandise,Tumbler,27,345.51
2026-07-20,Jakarta,Coffee,Espresso,36,85.76
2026-07-20,Jakarta,Pastry,Butter Croissant,12,38.18
2026-07-21,Surabaya,Pastry,Banana Bread,18,48.77
2026-07-21,Bandung,Tea,Jasmine Tea,26,58.27
2026-07-21,Jakarta,Coffee,Cafe Latte,21,77.28
2026-07-22,Jakarta,Merchandise,Tumbler,32,397.86
2026-07-22,Denpasar,Pastry,Banana Bread,21,60.84
2026-07-22,Yogyakarta,Coffee,Cafe Latte,9,33.59
2026-07-23,Bandung,Pastry,Banana Bread,18,48.77
2026-07-23,Bandung,Pastry,Butter Croissant,27,81.28
2026-07-23,Surabaya,Pastry,Banana Bread,12,33.93
2026-07-24,Jakarta,Pastry,Banana Bread,37,111.42
2026-07-24,Denpasar,Coffee,Cafe Latte,26,98.21
2026-07-25,Yogyakarta,Tea,Matcha Latte,29,107.52
2026-07-25,Surabaya,Tea,Matcha Latte,53,215.42
2026-07-26,Bandung,Merchandise,Tumbler,47,550.57
2026-07-26,Yogyakarta,Coffee,Cafe Latte,44,176.79
2026-07-26,Yogyakarta,Pastry,Butter Croissant,11,33.62
2026-07-26,Bandung,Tea,Jasmine Tea,13,28.92
2026-07-27,Denpasar,Pastry,Banana Bread,34,93.88
2026-07-27,Yogyakarta,Pastry,Banana Bread,38,101.87
2026-07-27,Yogyakarta,Coffee,Espresso,34,81.38
2026-07-27,Jakarta,Coffee,Cold Brew,25,111.07
2026-07-28,Yogyakarta,Pastry,Butter Croissant,15,46.55
2026-07-28,Yogyakarta,Pastry,Butter Croissant,12,38.39
2026-07-29,Yogyakarta,Coffee,Cold Brew,18,78.4
2026-07-29,Yogyakarta,Coffee,Cold Brew,20,87.73
2026-07-30,Jakarta,Pastry,Banana Bread,14,38.01
2026-07-30,Jakarta,Pastry,Banana Bread,8,24.16
2026-07-30,Jakarta,Merchandise,Tumbler,26,322.5
2026-07-30,Bandung,Tea,Jasmine Tea,31,63.8
2026-07-31,Surabaya,Coffee,Cafe Latte,39,155.2
2026-07-31,Jakarta,Tea,Jasmine Tea,22,49.69
2026-07-31,Denpasar,Tea,Jasmine Tea,34,70.33
